Sl. No.,CRIEM HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,,
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0,,,,,,,
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0,,,,,,,
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0,,,,,,,
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,0,0,1,0,,,,,,,
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,0,0,0,,,,,,,
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,0,1,0,0,,,,,,,
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0,,,,,,,
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,0,1,0,0,,,,,,,
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0,,,,,,,
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,8,1,6,8,,,,,,,
640,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,0,0,1,0,,,,,,,
641,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,8,21,9,8,,,,,,,
642,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,1,1,0,1,,,,,,,
643,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,0,1,2,0,,,,,,,
644,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0,,,,,,,
645,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,7,15,10,7,,,,,,,
646,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Information Technology Act 2000, 2009",1325,800,1232,1325,,,,,,,
647,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0,,,,,,,
648,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,0,0,0,0,,,,,,,
649,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,1,1,1,1,,,,,,,
650,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,0,1,0,0,,,,,,,
651,B - SPECIAL & LOCAL LAWS,POCSO,Rape,142,175,191,142,,,,,,,
652,B - SPECIAL & LOCAL LAWS,POCSO,Others ,66,89,80,66,,,,,,,
653,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,0,0,0,0,,,,,,,
654,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,0,1,0,0,,,,,,,
655,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,29,37,46,29,,,,,,,
656,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,458,504,497,458,,,,,,,
657,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,7,20,20,7,,,,,,,
658,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,7,9,9,7,,,,,,,
659,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0,,,,,,,
660,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,2,0,1,2,,,,,,,
661,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,26,35,34,26,,,,,,,
662,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,0,0,1,0,,,,,,,381
663,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,2,2,1,2,,,,,,,15
664,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,68,65,65,68,,,,,,,366
665,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,0,0,0,0,,,,,,,
666,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,5,13,16,5,,,,,,,
667,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,215,219,231,215,,,,,,,
668,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,10,16,13,10,,,,,,,
669,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,18,17,15,18,,,,,,,
670,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,0,0,0,0,,,,,,,
671,C. CRIMES AGAINST WOMEN,Pornography,NA,2,0,0,2,,,,,,,
672,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,4,8,8,4,,,,,,,
673,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,6,2,2,6,,,,,,,
674,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,431,218,218,431,,,,,,,
675,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,0,0,0,0,,,,,,,
676,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0,,,,,,,
677,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,8,4,6,8,,,,,,,
678,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,For Ransom - of Children,1,0,1,1,,,,,,,
679,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,of Children - for begging,0,0,0,0,,,,,,,
680,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,of Girls - Immoral Purpose,0,0,0,0,,,,,,,
681,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,With intent to Steal from Child,0,0,0,0,,,,,,,
682,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,Lawful Guardianship,0,0,0,0,,,,,,,
683,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,Procuration of Minor Girls - For Prostitution,0,0,0,0,,,,,,,
684,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,Procuration of Minor Girls - Importing of Girl,0,0,0,0,,,,,,,
685,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,Procuration of Minor Girls - For Other Purposes,2,1,3,2,,,,,,,
686,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0,,,,,,,
687,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,15,24,16,15,,,,,,,
688,D.CRIME AGAINST CHILDREN,POCSO Act,NA,209,266,272,209,,,,,,,
689,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,0,1,0,0,,,,,,,
690,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,1,7,3,1,,,,,,,
691,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,1,10,4,1,,,,,,,
692,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,1,1,0,1,,,,,,,
693,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,3,6,4,3,,,,,,,
694,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,13,22,10,13,,,,,,,
695,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,8,7,3,8,,,,,,,
696,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,0,0,0,0,,,,,,,
697,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,128,175,157,128,,,,,,,
