District_Name,UnitName,FIR_YEAR,FIR_MONTH,FIR_Day,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,Place of Offence,Male,Female,Boy,Girl,VICTIM COUNT,Accused Count,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count
Bagalkot,Bagalkot Rural PS,2023,1,6,Non Heinous,UI,Written,NARCOTICS,NDPS Possession,13.120817,74.454724,IPC Section 316,G.H.KUPPI (PSI),"Near Main Market / Junction, Bagalkot",0,1,1,0,1,2,2,1,0
Vijayapur,Vijayapur Central PS,2025,1,6,Heinous,UI,Oral,POCSO,Child Abuse,16.678242,78.315989,IPC Section 479,A.K.NAIK (PI),"Near Main Market / Junction, Vijayapur",0,1,1,0,1,3,1,2,0
Chickballapura,Chickballapura Cyber Crime PS,2023,8,7,Non Heinous,Pending Trial,Oral,THEFT,Motor Vehicle Theft,13.494908,74.515546,IPC Section 333,K.V.RAMESH (PI),"Near Main Market / Junction, Chickballapura",2,0,0,0,2,3,0,1,0
Mysuru City,Mysuru City Cyber Crime PS,2022,3,19,Heinous,Pending Trial,Oral,MURDER,Attempt to Murder,17.049967,74.554477,IPC Section 374,N.S.KUMAR (PSI),"Near Main Market / Junction, Mysuru City",0,3,0,0,3,2,1,1,0
Vijayanagara,Vijayanagara Town PS,2022,4,15,Non Heinous,Pending Trial,Oral,FRAUD,Forgery,12.582836,76.533624,IPC Section 404,K.V.RAMESH (PI),"Near Main Market / Junction, Vijayanagara",1,1,0,0,2,1,0,0,0
Haveri,Haveri Town PS,2025,7,8,Heinous,Traced,Oral,MURDER,Attempt to Murder,12.218857,75.489181,IPC Section 324,K.V.RAMESH (PI),"Near Main Market / Junction, Haveri",0,1,0,0,1,1,0,1,0
Bengaluru Rural,Bengaluru Rural Traffic PS,2021,3,8,Non Heinous,UI,Oral,THEFT,Pickpocketing,14.044089,76.215375,IPC Section 481,K.V.RAMESH (PI),"Near Main Market / Junction, Bengaluru Rural",1,0,0,0,1,3,1,1,0
Ballari,Ballari Rural PS,2023,10,23,Heinous,Pending Trial,Oral,KIDNAPPING,Abduction,14.987345,77.453367,IPC Section 449,N.S.KUMAR (PSI),"Near Main Market / Junction, Ballari",2,1,1,0,3,2,2,1,0
K.G.F,K.G.F Traffic PS,2025,4,12,Non Heinous,UI,Oral,RIOTS,Communal Riots,16.300499,78.077644,IPC Section 459,R S BIRADAR (PI),"Near Main Market / Junction, K.G.F",1,2,0,0,3,1,1,1,0
Bidar,Bidar Rural PS,2022,10,8,Non Heinous,UI,Online,ASSAULT,Assault on Women,13.71065,78.447945,IPC Section 373,R S BIRADAR (PI),"Near Main Market / Junction, Bidar",2,0,0,0,2,4,1,4,0
Haveri,Haveri Traffic PS,2024,3,9,Non Heinous,Convicted,Oral,THEFT,Pickpocketing,16.522894,77.9695,IPC Section 356,K.V.RAMESH (PI),"Near Main Market / Junction, Haveri",1,0,0,0,1,2,0,0,2
Koppal,Koppal Rural PS,2025,11,16,Heinous,Convicted,Typed,KIDNAPPING,Kidnapping of Children,14.429681,76.235695,IPC Section 500,G.H.KUPPI (PSI),"Near Main Market / Junction, Koppal",2,0,0,0,2,1,0,0,1
Belagavi City,Belagavi City Rural PS,2021,8,27,Heinous,Pending Trial,Typed,MURDER,Attempt to Murder,13.337755,76.044171,IPC Section 488,R S BIRADAR (PI),"Near Main Market / Junction, Belagavi City",1,0,0,1,1,2,1,1,0
Belagavi Dist,Belagavi Dist Cyber Crime PS,2025,10,12,Non Heinous,UI,Online,THEFT,Motor Vehicle Theft,17.318171,75.343996,IPC Section 485,R S BIRADAR (PI),"Near Main Market / Junction, Belagavi Dist",0,2,1,0,2,1,1,0,0
Chitradurga,Chitradurga Traffic PS,2021,10,6,Non Heinous,Convicted,Online,NARCOTICS,Ganja Seizure,16.682096,78.342583,IPC Section 416,K.V.RAMESH (PI),"Near Main Market / Junction, Chitradurga",1,1,0,1,2,2,2,0,1
Dharwad,Dharwad Town PS,2024,4,17,Non Heinous,Convicted,Written,FRAUD,Financial Scam,12.943073,75.974726,IPC Section 337,S.B.DEVAR (PSI),"Near Main Market / Junction, Dharwad",2,0,0,0,2,4,0,4,4
Chikkamagaluru,Chikkamagaluru Cyber Crime PS,2022,2,14,Non Heinous,Convicted,Written,BURGLARY,House Breaking by Day,11.882031,77.751889,IPC Section 457,A.K.NAIK (PI),"Near Main Market / Junction, Chikkamagaluru",1,2,0,0,3,1,1,1,1
Udupi,Udupi Cyber Crime PS,2023,6,21,Heinous,BoundOver,Written,POCSO,Child Abuse,12.105044,74.10925,IPC Section 388,K.V.RAMESH (PI),"Near Main Market / Junction, Udupi",0,3,0,0,3,1,1,1,0
Udupi,Udupi Cyber Crime PS,2021,3,22,Non Heinous,Traced,Oral,ASSAULT,Assault on Women,14.89818,75.548395,IPC Section 450,N.S.KUMAR (PSI),"Near Main Market / Junction, Udupi",2,0,0,1,2,2,2,1,0
Chickballapura,Chickballapura Traffic PS,2025,8,8,Heinous,Convicted,Typed,KIDNAPPING,Kidnapping of Children,14.902056,75.089231,IPC Section 487,K.V.RAMESH (PI),"Near Main Market / Junction, Chickballapura",2,1,0,0,3,3,0,3,2
Mysuru City,Mysuru City Town PS,2023,11,12,Non Heinous,Pending Trial,Oral,NARCOTICS,Drug Peddling,16.250072,78.033387,IPC Section 346,G.H.KUPPI (PSI),"Near Main Market / Junction, Mysuru City",1,1,1,1,2,2,0,1,0
Kalaburagi,Kalaburagi Town PS,2023,4,14,Heinous,UI,Online,MURDER,Attempt to Murder,17.050599,74.465941,IPC Section 313,S.B.DEVAR (PSI),"Near Main Market / Junction, Kalaburagi",0,1,0,0,1,3,0,3,0
Hubballi Dharwad City,Hubballi Dharwad City Cyber Crime PS,2022,11,6,Non Heinous,BoundOver,Online,THEFT,Motor Vehicle Theft,14.586716,77.145674,IPC Section 494,A.K.NAIK (PI),"Near Main Market / Junction, Hubballi Dharwad City",1,0,0,0,1,4,1,0,0
Bengaluru Urban,Bengaluru Urban Traffic PS,2021,9,28,Non Heinous,UI,Written,CYBER CRIME,UPI Fraud,17.997762,78.195812,IPC Section 403,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru Urban",0,2,0,0,2,3,2,3,0
Kalaburagi,Kalaburagi Cyber Crime PS,2022,1,26,Non Heinous,Pending Trial,Typed,THEFT,Motor Vehicle Theft,15.403787,74.671849,IPC Section 302,N.S.KUMAR (PSI),"Near Main Market / Junction, Kalaburagi",0,3,0,0,3,4,4,2,0
Davanagere,Davanagere Town PS,2024,5,6,Heinous,Dis/Acq,Oral,MURDER,Murder for Gain,12.487632,75.812731,IPC Section 417,M.S.PATIL (PSI),"Near Main Market / Junction, Davanagere",2,1,0,0,3,1,0,0,0
Mangaluru City,Mangaluru City Rural PS,2023,5,17,Heinous,Traced,Typed,MURDER,Attempt to Murder,15.261304,75.318585,IPC Section 414,G.H.KUPPI (PSI),"Near Main Market / Junction, Mangaluru City",1,0,0,0,1,2,1,1,0
Gadag,Gadag Rural PS,2024,1,16,Non Heinous,Convicted,Typed,RIOTS,Communal Riots,13.258039,74.665715,IPC Section 398,K.V.RAMESH (PI),"Near Main Market / Junction, Gadag",0,2,0,0,2,2,0,2,1
Bidar,Bidar Town PS,2022,4,25,Non Heinous,Traced,Typed,ASSAULT,Assault on Public Servant,12.914267,74.274437,IPC Section 385,N.S.KUMAR (PSI),"Near Main Market / Junction, Bidar",1,0,0,1,1,1,0,0,0
Vijayanagara,Vijayanagara Cyber Crime PS,2022,5,26,Non Heinous,UI,Typed,FRAUD,Forgery,15.201684,74.233772,IPC Section 358,A.K.NAIK (PI),"Near Main Market / Junction, Vijayanagara",0,1,0,0,1,2,1,2,0
Kalaburagi,Kalaburagi Cyber Crime PS,2022,8,20,Heinous,UI,Written,MURDER,Attempt to Murder,13.970562,74.305038,IPC Section 319,S.B.DEVAR (PSI),"Near Main Market / Junction, Kalaburagi",2,0,0,0,2,2,2,2,0
Kalaburagi,Kalaburagi Town PS,2023,6,23,Non Heinous,Traced,Written,ASSAULT,Assault on Public Servant,16.839094,76.507095,IPC Section 390,S.B.DEVAR (PSI),"Near Main Market / Junction, Kalaburagi",0,2,0,0,2,3,3,3,0
Ramanagara,Ramanagara Cyber Crime PS,2025,3,14,Non Heinous,Pending Trial,Online,ASSAULT,Assault on Women,13.862127,75.910769,IPC Section 342,S.B.DEVAR (PSI),"Near Main Market / Junction, Ramanagara",1,0,0,0,1,1,0,1,0
Mangaluru City,Mangaluru City Central PS,2022,5,3,Non Heinous,BoundOver,Oral,FRAUD,Embezzlement,12.482156,76.203481,IPC Section 479,S.B.DEVAR (PSI),"Near Main Market / Junction, Mangaluru City",1,1,0,0,2,4,3,0,0
Mysuru City,Mysuru City Cyber Crime PS,2021,7,12,Non Heinous,Pending Trial,Typed,CYBER CRIME,Identity Theft,12.793171,74.597054,IPC Section 423,N.S.KUMAR (PSI),"Near Main Market / Junction, Mysuru City",1,0,0,0,1,4,2,2,0
Bengaluru Dist,Bengaluru Dist Cyber Crime PS,2024,9,21,Heinous,Dis/Acq,Online,MURDER,Murder due to Enmity,17.943877,75.923795,IPC Section 433,A.K.NAIK (PI),"Near Main Market / Junction, Bengaluru Dist",0,1,1,0,1,2,2,2,0
Bengaluru City,Bengaluru City Traffic PS,2023,7,1,Non Heinous,UI,Online,ASSAULT,Assault on Women,15.653436,76.344321,IPC Section 351,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru City",0,1,0,0,1,2,0,1,0
Kalaburagi City,Kalaburagi City Central PS,2022,1,23,Non Heinous,Convicted,Written,THEFT,Pickpocketing,16.267155,75.495498,IPC Section 381,N.S.KUMAR (PSI),"Near Main Market / Junction, Kalaburagi City",3,0,0,0,3,3,1,1,3
Belagavi City,Belagavi City Town PS,2023,12,6,Heinous,Convicted,Typed,MURDER,Murder for Gain,17.384169,75.185688,IPC Section 381,K.V.RAMESH (PI),"Near Main Market / Junction, Belagavi City",1,1,0,1,2,4,2,2,4
Bengaluru Dist,Bengaluru Dist Central PS,2022,8,14,Non Heinous,Pending Trial,Oral,BURGLARY,House Breaking by Day,16.030576,76.828792,IPC Section 480,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru Dist",2,1,1,0,3,3,0,0,0
Udupi,Udupi Town PS,2024,11,20,Non Heinous,Convicted,Written,ASSAULT,Assault on Public Servant,18.101181,74.800212,IPC Section 417,G.H.KUPPI (PSI),"Near Main Market / Junction, Udupi",1,0,0,0,1,2,2,0,2
Mysuru Dist,Mysuru Dist Town PS,2023,9,11,Non Heinous,Pending Trial,Online,BURGLARY,Shop Burglary,16.818162,78.139598,IPC Section 404,R S BIRADAR (PI),"Near Main Market / Junction, Mysuru Dist",2,0,0,0,2,1,1,0,0
Koppal,Koppal Central PS,2022,1,16,Non Heinous,Convicted,Oral,CYBER CRIME,Cyber Fraud,15.078762,74.919037,IPC Section 475,A.K.NAIK (PI),"Near Main Market / Junction, Koppal",3,0,0,0,3,2,0,1,2
Chikkamagaluru,Chikkamagaluru Traffic PS,2021,1,7,Non Heinous,Pending Trial,Typed,RIOTS,Communal Riots,12.182758,77.650274,IPC Section 334,S.B.DEVAR (PSI),"Near Main Market / Junction, Chikkamagaluru",0,3,0,0,3,1,1,1,0
Uttara Kannada,Uttara Kannada Central PS,2025,12,20,Heinous,Dis/Acq,Typed,MURDER,Murder for Gain,16.896481,76.005554,IPC Section 396,M.S.PATIL (PSI),"Near Main Market / Junction, Uttara Kannada",1,0,0,0,1,4,1,2,0
Bengaluru Urban,Bengaluru Urban Cyber Crime PS,2025,3,13,Non Heinous,UI,Oral,FRAUD,Embezzlement,16.421281,75.889853,IPC Section 373,A.K.NAIK (PI),"Near Main Market / Junction, Bengaluru Urban",1,2,0,0,3,3,1,3,0
Yadgir,Yadgir Cyber Crime PS,2022,12,22,Non Heinous,Traced,Online,ASSAULT,Assault on Public Servant,13.096936,75.902345,IPC Section 466,G.H.KUPPI (PSI),"Near Main Market / Junction, Yadgir",0,2,1,0,2,2,2,1,0
Raichur,Raichur Rural PS,2024,12,19,Non Heinous,Compounded,Online,RIOTS,Political Riots,17.094717,75.840798,IPC Section 476,A.K.NAIK (PI),"Near Main Market / Junction, Raichur",0,1,1,0,1,4,0,1,0
Bengaluru Rural,Bengaluru Rural Town PS,2025,8,18,Heinous,Pending Trial,Written,POCSO,Child Abuse,15.840217,76.381681,IPC Section 320,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru Rural",0,1,0,0,1,1,1,1,0
Mandya,Mandya Central PS,2022,8,27,Non Heinous,Traced,Written,THEFT,Bicycle Theft,13.380112,75.27329,IPC Section 393,A.K.NAIK (PI),"Near Main Market / Junction, Mandya",1,0,0,0,1,3,0,2,0
Udupi,Udupi Rural PS,2021,9,12,Heinous,BoundOver,Written,POCSO,POCSO Assault,13.584288,75.537523,IPC Section 406,M.S.PATIL (PSI),"Near Main Market / Junction, Udupi",1,0,0,0,1,2,2,2,0
Dakshina Kannada,Dakshina Kannada Central PS,2023,8,16,Heinous,UI,Written,POCSO,Child Abuse,18.082302,74.103773,IPC Section 417,A.K.NAIK (PI),"Near Main Market / Junction, Dakshina Kannada",0,1,1,0,1,1,0,0,0
Bengaluru Urban,Bengaluru Urban Central PS,2022,4,28,Non Heinous,Traced,Oral,RIOTS,Student Riots,15.261314,75.911166,IPC Section 441,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru Urban",2,1,0,0,3,2,1,1,0
Haveri,Haveri Traffic PS,2024,2,16,Non Heinous,BoundOver,Typed,THEFT,Pickpocketing,17.632915,76.218129,IPC Section 363,N.S.KUMAR (PSI),"Near Main Market / Junction, Haveri",2,0,0,0,2,2,0,0,0
Coastal Security Police,Coastal Security Police Rural PS,2023,7,10,Non Heinous,Pending Trial,Online,THEFT,Chain Snatching,14.495989,77.275152,IPC Section 500,R S BIRADAR (PI),"Near Main Market / Junction, Coastal Security Police",1,0,0,0,1,4,0,3,0
Belagavi Dist,Belagavi Dist Cyber Crime PS,2021,6,17,Non Heinous,UI,Oral,RIOTS,Group Clash,17.108235,74.892817,IPC Section 469,N.S.KUMAR (PSI),"Near Main Market / Junction, Belagavi Dist",1,0,0,0,1,3,1,2,0
Shivamogga,Shivamogga Town PS,2023,5,23,Non Heinous,Dis/Acq,Written,THEFT,Motor Vehicle Theft,15.684591,75.464273,IPC Section 322,S.B.DEVAR (PSI),"Near Main Market / Junction, Shivamogga",3,0,0,0,3,1,1,0,0
Vijayanagara,Vijayanagara Cyber Crime PS,2025,9,12,Non Heinous,Pending Trial,Online,FRAUD,Forgery,13.383807,76.973749,IPC Section 398,M.S.PATIL (PSI),"Near Main Market / Junction, Vijayanagara",0,1,0,0,1,4,2,2,0
Bidar,Bidar Traffic PS,2023,2,27,Non Heinous,Traced,Oral,BURGLARY,Shop Burglary,14.524148,74.193178,IPC Section 440,A.K.NAIK (PI),"Near Main Market / Junction, Bidar",3,0,0,0,3,3,1,1,0
Mangaluru City,Mangaluru City Central PS,2025,3,18,Non Heinous,Traced,Online,FRAUD,Financial Scam,17.671627,76.294022,IPC Section 327,S.B.DEVAR (PSI),"Near Main Market / Junction, Mangaluru City",0,1,0,0,1,1,0,0,0
Raichur,Raichur Town PS,2021,2,15,Non Heinous,Pending Trial,Typed,THEFT,Motor Vehicle Theft,13.823298,74.511875,IPC Section 406,K.V.RAMESH (PI),"Near Main Market / Junction, Raichur",0,1,1,0,1,3,0,2,0
K.G.F,K.G.F Cyber Crime PS,2025,2,6,Non Heinous,Compounded,Written,THEFT,Motor Vehicle Theft,17.691279,75.061699,IPC Section 307,R S BIRADAR (PI),"Near Main Market / Junction, K.G.F",0,1,0,0,1,2,0,1,0
Bagalkot,Bagalkot Traffic PS,2024,1,10,Non Heinous,Convicted,Online,RIOTS,Political Riots,15.588717,75.063621,IPC Section 495,A.K.NAIK (PI),"Near Main Market / Junction, Bagalkot",1,0,0,1,1,3,0,1,2
Davanagere,Davanagere Traffic PS,2021,11,20,Heinous,Convicted,Oral,KIDNAPPING,Kidnapping for Ransom,14.711012,74.775068,IPC Section 347,G.H.KUPPI (PSI),"Near Main Market / Junction, Davanagere",2,0,0,0,2,2,0,0,2
Dakshina Kannada,Dakshina Kannada Traffic PS,2022,11,2,Non Heinous,Pending Trial,Online,NARCOTICS,Drug Peddling,16.744297,76.725616,IPC Section 413,N.S.KUMAR (PSI),"Near Main Market / Junction, Dakshina Kannada",1,2,0,0,3,3,1,3,0
Uttara Kannada,Uttara Kannada Traffic PS,2021,8,3,Heinous,UI,Online,POCSO,POCSO Assault,12.778872,77.486939,IPC Section 350,R S BIRADAR (PI),"Near Main Market / Junction, Uttara Kannada",1,0,0,0,1,1,0,1,0
Mangaluru City,Mangaluru City Traffic PS,2021,2,19,Non Heinous,Pending Trial,Online,ASSAULT,Assault on Public Servant,13.884069,77.163639,IPC Section 362,K.V.RAMESH (PI),"Near Main Market / Junction, Mangaluru City",2,0,0,1,2,1,1,1,0
Hubballi Dharwad City,Hubballi Dharwad City Town PS,2022,3,9,Heinous,Dis/Acq,Online,POCSO,Child Abuse,13.462884,77.640378,IPC Section 442,A.K.NAIK (PI),"Near Main Market / Junction, Hubballi Dharwad City",0,2,0,0,2,1,1,0,0
Hubballi Dharwad City,Hubballi Dharwad City Traffic PS,2022,11,3,Heinous,Dis/Acq,Written,KIDNAPPING,Kidnapping of Children,17.098578,75.917532,IPC Section 391,S.B.DEVAR (PSI),"Near Main Market / Junction, Hubballi Dharwad City",0,2,0,0,2,3,1,3,0
Vijayanagara,Vijayanagara Central PS,2021,7,7,Non Heinous,Pending Trial,Typed,NARCOTICS,NDPS Possession,16.911095,75.069033,IPC Section 388,K.V.RAMESH (PI),"Near Main Market / Junction, Vijayanagara",2,0,0,1,2,1,1,0,0
Mysuru Dist,Mysuru Dist Central PS,2023,6,4,Non Heinous,Convicted,Online,BURGLARY,House Breaking by Night,12.571805,76.578822,IPC Section 370,K.V.RAMESH (PI),"Near Main Market / Junction, Mysuru Dist",1,1,0,1,2,2,0,0,2
Kalaburagi City,Kalaburagi City Cyber Crime PS,2024,4,10,Non Heinous,Pending Trial,Typed,FRAUD,Cheating,15.336211,74.136011,IPC Section 309,A.K.NAIK (PI),"Near Main Market / Junction, Kalaburagi City",0,1,0,0,1,2,2,1,0
Bengaluru City,Bengaluru City Town PS,2024,12,1,Non Heinous,Pending Trial,Typed,BURGLARY,House Breaking by Night,13.424385,74.628014,IPC Section 462,R S BIRADAR (PI),"Near Main Market / Junction, Bengaluru City",1,1,0,0,2,1,0,0,0
Chickballapura,Chickballapura Rural PS,2025,1,7,Heinous,UI,Typed,MURDER,Attempt to Murder,16.310986,75.180596,IPC Section 487,G.H.KUPPI (PSI),"Near Main Market / Junction, Chickballapura",0,2,0,0,2,2,2,0,0
Vijayapur,Vijayapur Rural PS,2025,7,22,Non Heinous,Traced,Online,BURGLARY,House Breaking by Day,15.479816,75.668972,IPC Section 496,N.S.KUMAR (PSI),"Near Main Market / Junction, Vijayapur",1,1,0,0,2,4,0,4,0
Kodagu,Kodagu Cyber Crime PS,2021,9,8,Non Heinous,Convicted,Written,RIOTS,Communal Riots,14.068988,78.031857,IPC Section 358,S.B.DEVAR (PSI),"Near Main Market / Junction, Kodagu",1,1,0,0,2,3,2,1,2
Coastal Security Police,Coastal Security Police Cyber Crime PS,2024,6,1,Non Heinous,UI,Oral,CYBER CRIME,Social Media Harassment,12.216285,76.617076,IPC Section 421,G.H.KUPPI (PSI),"Near Main Market / Junction, Coastal Security Police",1,0,0,0,1,2,1,1,0
Chamarajanagar,Chamarajanagar Traffic PS,2023,12,23,Heinous,BoundOver,Typed,KIDNAPPING,Kidnapping for Ransom,14.650533,76.00997,IPC Section 440,R S BIRADAR (PI),"Near Main Market / Junction, Chamarajanagar",3,0,0,1,3,3,3,3,0
Vijayanagara,Vijayanagara Town PS,2024,5,17,Non Heinous,Traced,Oral,ASSAULT,Assault on Public Servant,18.04543,75.964728,IPC Section 419,A.K.NAIK (PI),"Near Main Market / Junction, Vijayanagara",1,2,0,1,3,3,3,2,0
Dharwad,Dharwad Traffic PS,2021,4,19,Non Heinous,Traced,Written,ASSAULT,Assault on Women,14.36752,76.116463,IPC Section 472,G.H.KUPPI (PSI),"Near Main Market / Junction, Dharwad",0,1,0,0,1,3,1,0,0
Raichur,Raichur Rural PS,2024,11,19,Non Heinous,Pending Trial,Oral,ASSAULT,Assault on Public Servant,14.324159,75.905317,IPC Section 335,A.K.NAIK (PI),"Near Main Market / Junction, Raichur",3,0,0,0,3,3,0,0,0
Bengaluru Rural,Bengaluru Rural Central PS,2025,4,4,Non Heinous,Dis/Acq,Typed,CYBER CRIME,Phishing Scam,15.3861,77.536668,IPC Section 386,S.B.DEVAR (PSI),"Near Main Market / Junction, Bengaluru Rural",2,0,0,0,2,2,0,0,0
Kalaburagi City,Kalaburagi City Rural PS,2023,10,16,Non Heinous,Convicted,Written,THEFT,Chain Snatching,17.962359,77.204275,IPC Section 421,G.H.KUPPI (PSI),"Near Main Market / Junction, Kalaburagi City",3,0,0,1,3,2,0,2,1
Uttara Kannada,Uttara Kannada Cyber Crime PS,2023,3,23,Non Heinous,Dis/Acq,Typed,FRAUD,Cheating,16.172329,78.181714,IPC Section 449,S.B.DEVAR (PSI),"Near Main Market / Junction, Uttara Kannada",1,1,0,0,2,1,0,1,0
Chikkamagaluru,Chikkamagaluru Rural PS,2022,3,20,Heinous,BoundOver,Typed,KIDNAPPING,Kidnapping of Children,17.09902,75.199119,IPC Section 417,S.B.DEVAR (PSI),"Near Main Market / Junction, Chikkamagaluru",3,0,0,0,3,1,0,1,0
Bengaluru Urban,Bengaluru Urban Town PS,2024,6,16,Heinous,BoundOver,Written,MURDER,Dowry Murder,13.125827,74.574642,IPC Section 343,R S BIRADAR (PI),"Near Main Market / Junction, Bengaluru Urban",0,2,1,0,2,3,1,1,0
Bagalkot,Bagalkot Rural PS,2023,6,26,Heinous,BoundOver,Written,MURDER,Murder for Gain,13.501794,76.428478,IPC Section 379,G.H.KUPPI (PSI),"Near Main Market / Junction, Bagalkot",1,1,0,0,2,4,3,1,0
Uttara Kannada,Uttara Kannada Cyber Crime PS,2022,10,21,Non Heinous,Convicted,Online,BURGLARY,House Breaking by Night,15.279924,77.523109,IPC Section 375,R S BIRADAR (PI),"Near Main Market / Junction, Uttara Kannada",0,3,0,0,3,1,0,1,1
Mysuru Dist,Mysuru Dist Rural PS,2023,11,12,Non Heinous,BoundOver,Online,ASSAULT,Assault on Women,13.006933,76.366545,IPC Section 433,R S BIRADAR (PI),"Near Main Market / Junction, Mysuru Dist",2,0,0,0,2,3,2,3,0
Chickballapura,Chickballapura Traffic PS,2025,9,11,Non Heinous,Transfered,Online,BURGLARY,Shop Burglary,14.142417,77.98017,IPC Section 356,M.S.PATIL (PSI),"Near Main Market / Junction, Chickballapura",2,0,0,0,2,4,2,4,0
Bengaluru Dist,Bengaluru Dist Town PS,2022,7,23,Non Heinous,Transfered,Typed,THEFT,Bicycle Theft,17.999273,74.846806,IPC Section 315,M.S.PATIL (PSI),"Near Main Market / Junction, Bengaluru Dist",2,1,0,0,3,2,1,0,0
Bengaluru Urban,Bengaluru Urban Central PS,2023,3,16,Heinous,Pending Trial,Typed,MURDER,Dowry Murder,13.010107,76.800863,IPC Section 478,R S BIRADAR (PI),"Near Main Market / Junction, Bengaluru Urban",1,1,1,0,2,2,2,2,0
Bengaluru City,Bengaluru City Cyber Crime PS,2025,8,12,Non Heinous,Pending Trial,Online,BURGLARY,House Breaking by Day,14.597348,74.869011,IPC Section 454,A.K.NAIK (PI),"Near Main Market / Junction, Bengaluru City",1,0,0,0,1,3,3,3,0
Shivamogga,Shivamogga Rural PS,2023,2,26,Heinous,Convicted,Oral,POCSO,POCSO Assault,12.391598,76.469105,IPC Section 386,N.S.KUMAR (PSI),"Near Main Market / Junction, Shivamogga",1,0,0,0,1,2,0,0,1
Bidar,Bidar Rural PS,2024,7,19,Non Heinous,Dis/Acq,Oral,RIOTS,Political Riots,17.740276,78.09955,IPC Section 448,K.V.RAMESH (PI),"Near Main Market / Junction, Bidar",1,0,0,0,1,2,2,1,0
Hubballi Dharwad City,Hubballi Dharwad City Traffic PS,2024,3,20,Heinous,Traced,Oral,MURDER,Attempt to Murder,15.454386,75.896732,IPC Section 412,R S BIRADAR (PI),"Near Main Market / Junction, Hubballi Dharwad City",0,3,0,0,3,1,1,0,0
Mangaluru City,Mangaluru City Town PS,2024,12,2,Non Heinous,Convicted,Typed,RIOTS,Communal Riots,13.295474,76.650985,IPC Section 345,K.V.RAMESH (PI),"Near Main Market / Junction, Mangaluru City",0,1,0,0,1,1,1,1,1
Yadgir,Yadgir Traffic PS,2025,10,25,Heinous,Traced,Oral,KIDNAPPING,Abduction,12.731236,75.149995,IPC Section 348,N.S.KUMAR (PSI),"Near Main Market / Junction, Yadgir",0,2,0,0,2,3,0,0,0
Shivamogga,Shivamogga Traffic PS,2023,3,5,Non Heinous,Convicted,Typed,CYBER CRIME,UPI Fraud,16.389278,76.79494,IPC Section 408,M.S.PATIL (PSI),"Near Main Market / Junction, Shivamogga",1,2,0,0,3,2,0,0,1
Mangaluru City,Mangaluru City Traffic PS,2023,4,8,Non Heinous,Traced,Oral,BURGLARY,House Breaking by Day,16.873042,76.32395,IPC Section 392,A.K.NAIK (PI),"Near Main Market / Junction, Mangaluru City",1,0,0,1,1,3,0,2,0
Gadag,Gadag Town PS,2025,4,25,Non Heinous,UI,Oral,CYBER CRIME,Cyber Fraud,17.741873,76.08567,IPC Section 475,R S BIRADAR (PI),"Near Main Market / Junction, Gadag",2,0,0,0,2,3,0,2,0
Bengaluru Dist,Bengaluru Dist Town PS,2022,6,27,Non Heinous,Pending Trial,Oral,BURGLARY,Shop Burglary,12.983932,75.459242,IPC Section 351,N.S.KUMAR (PSI),"Near Main Market / Junction, Bengaluru Dist",2,0,0,1,2,3,0,3,0
Raichur,Raichur Traffic PS,2021,11,23,Non Heinous,Dis/Acq,Oral,THEFT,Theft from House,12.287079,74.443787,IPC Section 343,N.S.KUMAR (PSI),"Near Main Market / Junction, Raichur",1,0,0,0,1,3,1,3,0
Udupi,Udupi Central PS,2024,2,2,Non Heinous,UI,Typed,BURGLARY,House Breaking by Day,14.753069,76.428401,IPC Section 434,R S BIRADAR (PI),"Near Main Market / Junction, Udupi",0,3,0,0,3,1,0,0,0
Bengaluru Dist,Bengaluru Dist Rural PS,2025,11,26,Non Heinous,Pending Trial,Online,THEFT,Pickpocketing,12.776139,74.512661,IPC Section 331,G.H.KUPPI (PSI),"Near Main Market / Junction, Bengaluru Dist",2,1,0,1,3,4,2,4,0
Udupi,Udupi Rural PS,2024,7,25,Heinous,BoundOver,Typed,POCSO,Child Abuse,14.119328,74.754256,IPC Section 483,A.K.NAIK (PI),"Near Main Market / Junction, Udupi",2,0,0,0,2,1,0,1,0
Kalaburagi City,Kalaburagi City Cyber Crime PS,2021,11,16,Heinous,UI,Written,KIDNAPPING,Kidnapping of Children,15.697197,75.749275,IPC Section 473,M.S.PATIL (PSI),"Near Main Market / Junction, Kalaburagi City",1,2,0,1,3,1,0,0,0
Hubballi Dharwad City,Hubballi Dharwad City Rural PS,2023,10,16,Heinous,BoundOver,Oral,KIDNAPPING,Kidnapping for Ransom,17.336213,76.704917,IPC Section 415,G.H.KUPPI (PSI),"Near Main Market / Junction, Hubballi Dharwad City",3,0,0,0,3,4,0,2,0
